,DATE,USERS_DOING_TRANSACTIONS,USERS_RECEIVING_TOKENS,MATIC_PRICE
98,2020-09-23 00:00:00.000,282,135,0.01905112569
99,2020-09-24 00:00:00.000,3354,186,0.01821258203
100,2020-09-25 00:00:00.000,97889,123,0.01890172065
101,2020-09-26 00:00:00.000,296,117,0.01910808636
102,2020-09-27 00:00:00.000,324,113,0.01866618051
103,2020-09-28 00:00:00.000,306,107,0.01927262742
104,2020-09-29 00:00:00.000,324,186,0.01923363482
105,2020-09-30 00:00:00.000,701,543,0.01962934287
106,2020-10-01 00:00:00.000,2497,2216,0.01965494621
107,2020-10-02 00:00:00.000,677,1521,0.01829028366
108,2020-10-03 00:00:00.000,570,220,0.01841352882
109,2020-10-04 00:00:00.000,570,177,0.01852713409
110,2020-10-05 00:00:00.000,545,159,0.01871844555
111,2020-10-06 00:00:00.000,520,177,0.01822100238
112,2020-10-07 00:00:00.000,612,210,0.01712842193
113,2020-10-08 00:00:00.000,791,165,0.01644391481
114,2020-10-09 00:00:00.000,599,226,0.01687868745
115,2020-10-10 00:00:00.000,574,190,0.01743840802
116,2020-10-11 00:00:00.000,600,254,0.0175430462
117,2020-10-12 00:00:00.000,640,231,0.01810096496
118,2020-10-13 00:00:00.000,591,175,0.01777539405
119,2020-10-14 00:00:00.000,538,179,0.0175897272
120,2020-10-15 00:00:00.000,502,187,0.01710631505
121,2020-10-16 00:00:00.000,462,194,0.01654235354
122,2020-10-17 00:00:00.000,420,131,0.01652377859
123,2020-10-18 00:00:00.000,509,212,0.01678532248
124,2020-10-19 00:00:00.000,502,165,0.01664916519
125,2020-10-20 00:00:00.000,793,512,0.01586643222
126,2020-10-21 00:00:00.000,764,438,0.01626065161
127,2020-10-22 00:00:00.000,655,274,0.01715188104
128,2020-10-23 00:00:00.000,708,252,0.01716872792
129,2020-10-24 00:00:00.000,603,229,0.01725702517
130,2020-10-25 00:00:00.000,591,183,0.01743944301
131,2020-10-26 00:00:00.000,524,178,0.01708665855
132,2020-10-27 00:00:00.000,638,305,0.01613873603
133,2020-10-28 00:00:00.000,573,2937,0.01559021914
134,2020-10-29 00:00:00.000,557,235,0.01484069824
135,2020-10-30 00:00:00.000,612,287,0.01354325552
