,DATE,MARKET_CAP,MATIC_AVERAGE_PRICE,CIRCULATING_SUPPLY,HOLDERS
50,2021-01-30,170226710.915516,0.04119594008,4132123470.79112,20988
51,2021-03-21,1634076230.62722,0.3837735567,4257917728.50716,42648
52,2022-04-23,9029625689.61231,1.380241743,6542061011.13825,400334
53,2021-07-22,4812028335.12219,0.8906900205,5402584764.79392,86377
54,2020-07-25,62163494.2400467,0.02098537255,2962229719.89789,6490
55,2021-09-28,6045211259.78461,1.078070741,5607434681.41123,170667
56,2020-05-06,57095806.061917,0.01754509683,3254231458.52595,2965
57,2020-06-10,69027874.3901188,0.02112095626,3268217288.48433,3361
58,2022-03-16,8997650226.43355,1.402635661,6414816389.47007,377916
59,2022-04-13,9288763782.108,1.41396253,6569313958.6831,394726
60,2020-08-25,77288527.3835937,0.02641876596,2925516184.66463,9592
61,2020-07-18,64292798.0078279,0.02113249278,3042366969.09782,5921
62,2021-01-01,68196472.1206056,0.01801326554,3785902782.75549,16711
63,2021-01-03,73288786.891111,0.01942421265,3773063455.01906,16917
64,2021-03-19,1678777668.24338,0.4026089742,4169747263.11961,41563
65,2022-07-20,6362052099.18195,0.8990765192,7076207600.97519,445505
66,2021-01-23,136481813.106379,0.03247074468,4203223992.3935,19706
67,2020-10-17,46592788.3586157,0.01652377859,2819741749.48426,12176
68,2021-05-14,6504785177.93239,1.26452069,5144071766.77671,71795
69,2020-05-19,71100947.9418093,0.02175526951,3268217288.48433,3361
70,2021-09-19,7405773210.08989,1.345938579,5502311416.35835,161889
71,2021-12-20,13746116523.6545,2.132254443,6446752435.88264,286363
72,2020-05-13,58073106.4563513,0.01782625444,3257729022.26593,3292
73,2022-01-02,16270042090.1486,2.534518408,6419382095.46575,312680
74,2022-02-06,11126574530.1835,1.715639962,6485378504.31797,346221
75,2022-03-13,8979207843.94697,1.402882146,6400543244.25775,376606
76,2022-05-03,7136109751.48393,1.08983371,6547888626.61535,403960
77,2022-06-16,2846854692.5033,0.4046844928,7034751128.86008,428634
78,2020-10-23,48128398.7441193,0.01716872792,2803259448.33353,12826
79,2021-01-20,135084282.50761,0.03274693179,4125097379.24554,19471
80,2021-02-27,832750589.126178,0.2081755196,4000233027.14646,28019
81,2022-08-04,6248747033.79128,0.8940009635,6989642392.82823,445681
82,2020-08-01,59627178.8483558,0.02049354159,2909559510.73666,6865
