,NEW_ADDRESS,MIN_DATE,CUMULATIVE_ADDRESS
200,133,2021-01-18,112642
201,146,2021-01-19,112788
202,248,2021-01-20,113036
203,644,2021-01-21,113680
204,1972,2021-01-22,115652
205,344,2021-01-23,115996
206,185,2021-01-24,116181
207,182,2021-01-25,116363
208,221,2021-01-26,116584
209,164,2021-01-27,116748
210,186,2021-01-28,116934
211,235,2021-01-29,117169
212,206,2021-01-30,117375
213,174,2021-01-31,117549
214,93,2021-02-01,117642
215,81,2021-02-02,117723
216,132,2021-02-03,117855
217,87,2021-02-04,117942
218,75,2021-02-05,118017
219,102,2021-02-06,118119
220,146,2021-02-07,118265
221,250,2021-02-08,118515
222,188,2021-02-09,118703
223,181,2021-02-10,118884
224,225,2021-02-11,119109
225,142,2021-02-12,119251
226,127,2021-02-13,119378
227,242,2021-02-14,119620
228,278,2021-02-15,119898
229,252,2021-02-16,120150
230,201,2021-02-17,120351
231,271,2021-02-18,120622
232,177,2021-02-19,120799
233,370,2021-02-20,121169
234,572,2021-02-21,121741
235,411,2021-02-22,122152
236,359,2021-02-23,122511
237,417,2021-02-24,122928
238,565,2021-02-25,123493
239,605,2021-02-26,124098
240,735,2021-02-27,124833
241,607,2021-02-28,125440
242,778,2021-03-01,126218
243,1824,2021-03-02,128042
244,773,2021-03-03,128815
245,560,2021-03-04,129375
246,462,2021-03-05,129837
247,488,2021-03-06,130325
248,640,2021-03-07,130965
249,750,2021-03-08,131715
250,611,2021-03-09,132326
251,864,2021-03-10,133190
252,778,2021-03-11,133968
253,784,2021-03-12,134752
254,717,2021-03-13,135469
255,652,2021-03-14,136121
256,488,2021-03-15,136609
257,570,2021-03-16,137179
258,541,2021-03-17,137720
259,607,2021-03-18,138327
260,455,2021-03-19,138782
261,793,2021-03-20,139575
262,1167,2021-03-21,140742
263,640,2021-03-22,141382
264,755,2021-03-23,142137
265,1232,2021-03-24,143369
266,439,2021-03-25,143808
267,478,2021-03-26,144286
268,705,2021-03-27,144991
269,1025,2021-03-28,146016
270,695,2021-03-29,146711
271,654,2021-03-30,147365
272,2971,2021-03-31,150336
273,1042,2021-04-01,151378
274,787,2021-04-02,152165
275,646,2021-04-03,152811
276,477,2021-04-04,153288
277,940,2021-04-05,154228
278,835,2021-04-06,155063
279,535,2021-04-07,155598
280,629,2021-04-08,156227
281,864,2021-04-09,157091
282,977,2021-04-10,158068
283,853,2021-04-11,158921
284,807,2021-04-12,159728
285,754,2021-04-13,160482
286,1291,2021-04-14,161773
287,1374,2021-04-15,163147
288,807,2021-04-16,163954
289,601,2021-04-17,164555
290,669,2021-04-18,165224
291,854,2021-04-19,166078
292,944,2021-04-20,167022
293,1175,2021-04-21,168197
294,2730,2021-04-22,170927
295,1223,2021-04-23,172150
296,1150,2021-04-24,173300
297,1413,2021-04-25,174713
298,2192,2021-04-26,176905
299,3482,2021-04-27,180387
300,4873,2021-04-28,185260
301,3181,2021-04-29,188441
302,4560,2021-04-30,193001
303,4385,2021-05-01,197386
304,5592,2021-05-02,202978
305,4140,2021-05-03,207118
306,3305,2021-05-04,210423
307,3430,2021-05-05,213853
308,3338,2021-05-06,217191
309,4208,2021-05-07,221399
310,2675,2021-05-08,224074
311,2722,2021-05-09,226796
312,2429,2021-05-10,229225
313,3165,2021-05-11,232390
314,3811,2021-05-12,236201
315,2994,2021-05-13,239195
316,22203,2021-05-14,261398
317,4706,2021-05-15,266104
318,4037,2021-05-16,270141
319,4952,2021-05-17,275093
320,7476,2021-05-18,282569
321,7421,2021-05-19,289990
322,6236,2021-05-20,296226
